date,district,GAM Prevalence,next_prevalence,prevalence_diff
2020-01-01,Jamaame,0.4403832811966767,0.3833278902677988,-0.0570553909288779
2020-01-01,Hargeysa,0.2029943156263941,0.1277865307901176,-0.07520778483627652
2020-01-01,Burco,0.1798890136234226,0.0911891620672353,-0.0886998515561873
2020-01-01,Xarardheere,0.3962781291497199,0.3925848407833757,-0.003693288366344194
2020-01-01,Caynabo,0.3650665187072713,0.1939232409381663,-0.171143277769105
2020-01-01,Hobyo,0.3706782212839118,0.306084466714388,-0.06459375456952382
2020-01-01,Jariiban,0.4090915108402051,0.3512605042016806,-0.05783100663852453
2020-01-01,Kurtunwaarey,0.4452618351340643,0.4855604762788724,0.04029864114480808
2020-01-01,Marka,0.4637137550163429,0.4905037846230626,0.026790029606719723
2020-01-01,Qoryooley,0.4443390921876267,0.4801347611599085,0.03579566897228181
2020-01-01,Sablaale,0.4587764880148566,0.4933201385452746,0.034543650530418024
2020-01-01,Bu'aale,0.3994682200116711,0.4118061786950391,0.012337958683368011
2020-01-01,Jilib,0.3909294797509632,0.3881953090823434,-0.0027341706686198064
2020-01-01,Wanla Weyn,0.4147038987749591,0.4289798374962383,0.014275938721279191
2020-01-01,Adan Yabaal,0.3126112111904077,0.2890189520624303,-0.02359225912797741
2020-01-01,Afgooye,0.4492225378213771,0.4582353863030873,0.00901284848171019
2020-01-01,Balcad,0.3899254108022901,0.3992414113024258,0.009316000500135702
2020-01-01,Cadale,0.3083621800244197,0.2905168905168905,-0.017845289507529172
2020-01-01,Jowhar,0.4462076309782391,0.4604083984124952,0.014200767434256079
2020-01-01,Gaalkacyo,0.4778162642037701,0.4371415325518246,-0.04067473165194552
2020-01-01,Galdogob,0.4646904136201208,0.4141636814549462,-0.050526732165174615
2020-01-01,Saakow,0.4082173073829072,,
2020-07-01,Baardheere,0.2304840065259306,0.2388133498145859,0.008329343288655311
2020-07-01,Cadaado,0.3380690991281885,0.3458185340652244,0.007749434937035893
2020-07-01,Ceel Buur,0.3266989556530952,0.3598183881952327,0.033119432542137506
2020-07-01,Ceel Dheer,0.2858416181007885,0.2814535481659239,-0.004388069934864625
2020-07-01,Dhuusamarreeb,0.3225435261156694,0.3271635817908954,0.004620055675225998
2020-07-01,Belet Xaawo,0.3524982406755805,0.3835327234342012,0.031034482758620696
2020-07-01,Afmadow/Xagar,0.2780875765609288,0.3018436690537864,0.023756092492857595
2020-07-01,Doolow,0.3757435851904466,0.3641207815275311,-0.011622803662915515
2020-07-01,Garbahaarey,0.3596606279203213,0.3637295081967213,0.004068880276400011
2020-07-01,Luuq,0.3060848186846958,0.3583282114320836,0.05224339274738782
2020-07-01,Belet Weyne,0.4625835669613974,0.2474660340737546,-0.21511753288764282
2020-07-01,Bulo Burto,0.4556007922535211,0.1980742778541953,-0.25752651439932583
2020-07-01,Jalalaqsi,0.4544457188450606,0.1947145350286711,-0.2597311838163895
2020-07-01,Qansax Dheere,0.4244430093639005,0.5084745762711864,0.08403156690728592
2020-07-01,Ceel Waaq,0.2331280633404549,0.2664990571967316,0.033370993856276704
2020-07-01,Diinsoor,0.4420162648228424,0.492387605230163,0.05037134040732061
2020-07-01,Baki,0.2082093691694821,0.2276853252647503,0.0194759560952682
2020-07-01,Baydhaba,0.4809737260837505,,
2020-07-01,Badhaadhe,0.2639538679142639,0.2774755168661588,0.013521648951894893
2020-07-01,Borama,0.1412881669919613,0.1912113359430997,0.04992316895113838
2020-07-01,Lughaye,0.2421965609399425,0.1896116994452849,-0.0525848614946576
2020-07-01,Zeylac,0.2477857878475798,0.1853759011328527,-0.06240988671472708
2020-07-01,Ceel Barde,0.4899163797343827,0.58780127889818,0.09788489916379733
2020-07-01,Rab Dhuure,0.4204941640139457,0.5072024260803639,0.08670826206641824
2020-07-01,Tayeeglow,0.4117135401565671,0.4702754954084098,0.05856195525184271
2020-07-01,Buur Hakaba,0.4157290382244143,0.4955684007707129,0.07983936254629859
2020-07-01,Waajid,0.4367229608336327,0.4933524973050665,0.05662953647143376
2020-07-01,Banadir,0.464595584853251,0.4319770246468998,-0.03261856020635118
2020-07-01,Bandarbeyla,0.3404326123128119,0.2928452579034942,-0.04758735440931772
2020-07-01,Bossaso,0.4153248254892724,0.3622932391199615,-0.053031586369310935
2020-07-01,Caluula,0.4729064039408867,0.3592467407049734,-0.11365966323591326
2020-07-01,Iskushuban,0.3742070183891431,0.2954636692091529,-0.07874334917999021
2020-07-01,Qandala,0.4339712463105779,0.3550690147548786,-0.07890223155569925
2020-07-01,Qardho,0.3997979640997746,0.3539238539238539,-0.04587411017592069
2020-07-01,Xudur,0.4469897765997728,0.5317134742821079,0.08472369768233512
2020-07-01,Jamaame,0.3833278902677988,0.3061224489795918,-0.077205441288207
2020-07-01,Cabudwaaq,0.3608793180798564,0.3746074472857784,0.01372812920592198
2020-07-01,Afgooye,0.4582353863030873,0.4841321666449001,0.02589678034181281
2020-07-01,Eyl,0.345604315497886,0.3083090379008746,-0.0372952775970114
2020-07-01,Garoowe,0.3761939925204259,0.3128870890900428,-0.06330690343038309
2020-07-01,Ceel Afweyn,0.2885139291677652,0.3018453427065026,0.013331413538737402
2020-07-01,Ceerigaabo,0.2514301767289815,0.263567871280807,0.012137694551825506
2020-07-01,Laasqoray/Badhan,0.2827184696726668,0.3200990099009901,0.03738054022832332
2020-07-01,Caynabo,0.1939232409381663,0.2574626865671642,0.06353944562899791
2020-07-01,Taleex,0.2199045926480217,0.2834424695977549,0.06353787694973317
2020-07-01,Xudun,0.2022031084955485,0.2520754716981132,0.04987236320256466
2020-07-01,Burco,0.0911891620672353,0.140943301555444,0.049754139488208685
2020-07-01,Buuhoodle,0.1350544166033915,0.1898253606681852,0.054770944064793714
2020-07-01,Owdweyne,0.132173714024146,0.1948497854077253,0.06267607138357931
2020-07-01,Sheikh,0.1455487847587028,0.1828371278458844,0.0372883430871816
2020-07-01,Berbera,0.1808939137198255,0.2058333333333333,0.02493941961350782
2020-07-01,Gebiley,0.1675903119868637,0.1924063622370446,0.02481605025018091
2020-07-01,Hargeysa,0.1277865307901176,0.1965854943370926,0.06879896354697501
2020-07-01,Burtinle,0.415721780335082,0.3781725888324873,-0.037549191502594725
2020-07-01,Xarardheere,0.3925848407833757,0.2414050822122571,-0.1511797585711186
2020-07-01,Laas Caanood,0.1814135894950207,0.2306675479180436,0.04925395842302288
2020-07-01,Hobyo,0.306084466714388,0.2841803865425912,-0.02190408017179679
2020-07-01,Jariiban,0.3512605042016806,0.3485714285714286,-0.0026890756302520025
2020-07-01,Baraawe,0.4505242752665433,0.4911894273127753,0.040665152046232
2020-07-01,Kurtunwaarey,0.4855604762788724,0.4643330681516839,-0.021227408127188485
2020-07-01,Marka,0.4905037846230626,0.4615277970331346,-0.028975987589927976
2020-07-01,Qoryooley,0.4801347611599085,0.4593911683311274,-0.020743592828781077
2020-07-01,Sablaale,0.4933201385452746,0.4548825710754017,-0.038437567469872924
2020-07-01,Wanla Weyn,0.4289798374962383,0.4714070729872084,0.042427235490970105
2020-07-01,Bu'aale,0.4118061786950391,0.3788461538461538,-0.03296002484888533
2020-07-01,Kismaayo,0.3619308628245356,0.3705150271415331,0.008584164316997489
