date,next_prevalence,district,GAM Prevalence,actor2_Police Forces of Somaliland (2010-),interaction_12,fatalities,interaction_27,actor2_Al Shabaab,district_encoded,actor1_Police Forces of Somalia (2017-2022),actor1_Military Forces of Somalia (2017-2022),actor2_Military Forces of Somalia (2017-2022)
2018-01-01,0.3711192650605567,Badhaadhe,0.3926,0.0,6.0,236.0,3.0,34.0,4,0.0,2.0,0.0
2018-01-01,0.3580405856281527,Balcad,0.351,0.0,22.0,130.0,4.0,24.0,6,0.0,20.0,2.0
2018-01-01,0.3785774588022779,Baraawe,0.3510000000000001,0.0,9.0,101.0,6.0,30.0,9,0.0,6.0,0.0
2018-01-01,0.4637281725694139,Belet Weyne,0.3926,0.0,26.0,302.0,24.0,60.0,11,4.0,28.0,5.0
2018-01-01,0.2949701973955382,Berbera,0.1976,6.0,0.0,2.0,0.0,0.0,13,0.0,0.0,0.0
2018-01-01,0.2406251937071188,Borama,0.1690000000000001,6.0,0.0,3.0,0.0,0.0,14,0.0,0.0,0.0
2018-01-01,0.4125181113098476,Bu'aale,0.3925999999999999,0.0,1.0,9.0,3.0,3.0,16,0.0,0.0,0.0
2018-01-01,0.4668580324895174,Gaalkacyo,0.4004,0.0,10.0,394.0,6.0,11.0,37,0.0,1.0,0.0
2018-01-01,0.345678336354725,Garbahaarey,0.3925999999999999,0.0,11.0,244.0,4.0,28.0,39,0.0,8.0,0.0
2018-01-01,0.5372761677527557,Qardho,0.3432,0.0,0.0,14.0,0.0,0.0,60,0.0,0.0,0.0
2018-01-01,0.4363798525409664,Qoryooley,0.351,0.0,25.0,158.0,6.0,77.0,61,2.0,15.0,0.0
2018-01-01,0.3717999999999999,Saakow,0.3925999999999999,0.0,1.0,59.0,2.0,7.0,63,0.0,0.0,0.0
2018-01-01,0.4309610549243231,Sablaale,0.3510000000000001,0.0,1.0,0.0,0.0,1.0,64,0.0,1.0,0.0
2018-01-01,0.2547557920787028,Taleex,0.2912,0.0,0.0,2.0,0.0,0.0,66,0.0,0.0,0.0
2018-01-01,0.4748949097855825,Waajid,0.4861999999999999,0.0,12.0,51.0,4.0,24.0,68,1.0,7.0,0.0
2018-01-01,0.3788174337777663,Wanla Weyn,0.351,0.0,21.0,142.0,3.0,36.0,69,0.0,14.0,2.0
2018-01-01,0.3447106682656731,Xarardheere,0.4004000000000001,0.0,4.0,99.0,6.0,10.0,70,0.0,1.0,0.0
2018-01-01,0.4689020964811947,Xudur,0.4862,0.0,34.0,174.0,4.0,48.0,72,1.0,15.0,0.0
