date,next_prevalence,district,district_encoded,sub_event_type_Violent demonstration,sub_event_type_Suicide bomb,sub_event_type_Shelling/artillery/missile attack,sub_event_type_Sexual violence,sub_event_type_Remote explosive/landmine/IED,sub_event_type_Protest with intervention,sub_event_type_Peaceful protest,sub_event_type_Other,sub_event_type_Non-violent transfer of territory
2019-01-01,0.5898451672177014,Bulo Burto,17,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,3.0
2019-01-01,0.5737354286751378,Baydhaba,10,3.0,1.0,0.0,0.0,27.0,1.0,2.0,0.0,7.0
2019-01-01,0.3081383281834315,Bossaso,15,2.0,0.0,2.0,0.0,14.0,0.0,1.0,1.0,0.0
2019-01-01,0.462159131461528,Afgooye,1,0.0,3.0,7.0,0.0,37.0,0.0,1.0,0.0,2.0
2019-01-01,0.5213965829380455,Baardheere,3,0.0,0.0,6.0,0.0,4.0,0.0,1.0,0.0,0.0
2019-01-01,0.4823586641167936,Badhaadhe,4,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
2019-01-01,0.4207892941616012,Balcad,6,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,5.0
2019-01-01,0.4536122788198948,Banadir,7,5.0,10.0,11.0,0.0,132.0,5.0,10.0,2.0,0.0
2019-01-01,0.4680395945111392,Baraawe,9,0.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0
2019-01-01,0.5868054618205713,Belet Weyne,11,1.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0
2019-01-01,0.5172155129757019,Belet Xaawo,12,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2019-01-01,0.2430326560610348,Berbera,13,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0
2019-01-01,0.5163749201445982,Bu'aale,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.5545845681860391,Doolow,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2019-01-01,0.3738642018133994,Caynabo,26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-01-01,0.3845598383707495,Galdogob,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.4662120199606611,Qandala,58,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2019-01-01,0.5490683229813664,Qansax Dheere,59,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2019-01-01,0.3450721294564353,Qardho,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.4647070601850455,Qoryooley,61,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0
2019-01-01,0.4181286549707602,Saakow,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.3310823852137992,Owdweyne,57,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2019-01-01,0.311807882954238,Sheikh,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.5481180166869125,Tayeeglow,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2019-01-01,0.5458546307673043,Waajid,68,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2019-01-01,0.4732566779470763,Wanla Weyn,69,0.0,1.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0
2019-01-01,0.2395519799571875,Xarardheere,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
