date,next_prevalence,district,district_encoded,number_conflicts,count_actors_4,count_actors_3,count_actors_2,count_actors_1,source_scale_Subnational-National,source_scale_Subnational,source_scale_Regional,source_scale_Other-Subnational
2018-07-01,0.3440937497588239,Xarardheere,70,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2018-07-01,0.3499931256730363,Xudun,71,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.48161201917032,Xudur,72,10,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.2939877424871059,Zeylac,73,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.2072939133886237,Owdweyne,57,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-07-01,0.4356751207813825,Marka,56,75,0.0,6.0,68.0,1.0,0.0,3.0,1.0,0.0
2018-07-01,0.3817815509494871,Laasqoray,53,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-07-01,0.4017369795363936,Galdogob,38,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.3582420806274685,Garbahaarey,39,9,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.3790731071095702,Garoowe,40,18,0.0,3.0,12.0,3.0,0.0,0.0,0.0,0.0
2018-07-01,0.195572345649635,Gebiley,41,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2018-07-01,0.1951645146346709,Hargeysa,42,15,0.0,1.0,10.0,4.0,0.0,0.0,0.0,0.0
2018-07-01,0.4239158201206688,Iskushuban,44,8,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0
2018-07-01,0.4698845151234747,Jalalaqsi,45,18,2.0,2.0,12.0,2.0,0.0,0.0,0.0,0.0
2018-07-01,0.3149404261361454,Jamaame,46,24,0.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.3520726565695597,Hobyo,43,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-07-01,0.3157056116630282,Jilib,48,16,0.0,1.0,13.0,2.0,0.0,0.0,1.0,0.0
2018-07-01,0.4361091139158288,Jowhar,49,40,0.0,5.0,34.0,1.0,0.0,0.0,0.0,0.0
2018-07-01,0.3096236699207461,Kismaayo,50,60,0.0,14.0,45.0,1.0,0.0,0.0,0.0,0.0
2018-07-01,0.4391758387432182,Kurtunwaarey,51,5,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.3237610476395274,Laas Caanood,52,47,1.0,8.0,34.0,4.0,0.0,0.0,0.0,0.0
2018-07-01,0.4097136186539254,Luuq,55,5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.3121385033565494,Buuhoodle,20,10,0.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0
2019-01-01,0.5490683229813665,Buur Hakaba,21,11,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.3728535271691253,Cabudwaaq,22,3,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.3520109308137275,Cadaado,23,12,0.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0
2019-01-01,0.3368835013608263,Cadale,24,13,0.0,3.0,10.0,0.0,0.0,0.0,3.0,0.0
2019-01-01,0.350049306671516,Dhuusamarreeb,33,7,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.5293849399339471,Ceel Barde,28,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.3777466079633201,Ceel Buur,29,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.302048788800896,Ceel Dheer,30,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.4894280635303719,Ceel Waaq,31,9,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.3969125115565767,Ceerigaabo,32,13,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.2998339565222233,Burco,18,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.5512844916157692,Diinsoor,34,7,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0
2019-01-01,0.4022499807716035,Ceel Afweyn,27,8,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.5898451672177014,Bulo Burto,17,28,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.5737354286751378,Baydhaba,10,74,0.0,16.0,55.0,3.0,1.0,1.0,0.0,0.0
2019-01-01,0.3081383281834315,Bossaso,15,49,0.0,17.0,32.0,0.0,0.0,1.0,0.0,0.0
2019-01-01,0.462159131461528,Afgooye,1,104,0.0,13.0,90.0,1.0,0.0,1.0,0.0,0.0
2019-01-01,0.5213965829380455,Baardheere,3,19,0.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0
2019-01-01,0.4823586641167936,Badhaadhe,4,5,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.4207892941616012,Balcad,6,38,0.0,4.0,34.0,0.0,0.0,1.0,1.0,0.0
2019-01-01,0.4536122788198948,Banadir,7,370,4.0,64.0,296.0,6.0,0.0,1.0,1.0,0.0
2019-01-01,0.4680395945111392,Baraawe,9,12,0.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0
2019-01-01,0.5868054618205713,Belet Weyne,11,42,0.0,9.0,29.0,4.0,0.0,0.0,0.0,0.0
2019-01-01,0.5172155129757019,Belet Xaawo,12,12,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.2430326560610348,Berbera,13,6,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0
2019-01-01,0.5163749201445982,Bu'aale,16,6,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.5545845681860391,Doolow,35,4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.3738642018133994,Caynabo,26,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.3845598383707495,Galdogob,38,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.4662120199606611,Qandala,58,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.5490683229813664,Qansax Dheere,59,3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.3450721294564353,Qardho,60,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.4647070601850455,Qoryooley,61,22,0.0,7.0,15.0,0.0,0.0,1.0,0.0,0.0
2019-01-01,0.4181286549707602,Saakow,63,6,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.3310823852137992,Owdweyne,57,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.311807882954238,Sheikh,65,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.5481180166869125,Tayeeglow,67,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.5458546307673043,Waajid,68,5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.4732566779470763,Wanla Weyn,69,22,0.0,2.0,19.0,1.0,0.0,0.0,0.0,0.0
2019-01-01,0.2395519799571875,Xarardheere,70,7,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
2019-01-01,0.5457788588250408,Xudur,72,19,0.0,2.0,15.0,2.0,0.0,0.0,0.0,0.0
2019-01-01,0.389948051145162,Eyl,36,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.3972102948995347,Taleex,66,3,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0
2019-01-01,0.4539589601919299,Marka,56,72,0.0,8.0,63.0,1.0,0.0,0.0,0.0,0.0
2019-01-01,0.2649276406311697,Zeylac,73,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2019-01-01,0.500413842160481,Luuq,55,11,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0
2019-01-01,0.5554649634831142,Garbahaarey,39,22,0.0,5.0,12.0,5.0,0.0,0.0,0.0,0.0
2019-01-01,0.3712592237262992,Garoowe,40,13,0.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0
2019-01-01,0.2418992297764819,Gebiley,41,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.2213906679944643,Hargeysa,42,16,0.0,3.0,11.0,2.0,0.0,0.0,0.0,0.0
2019-01-01,0.3487584354785739,Hobyo,43,16,1.0,4.0,11.0,0.0,0.0,0.0,1.0,0.0
2019-01-01,0.4394605539382136,Iskushuban,44,4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.5921047430628529,Jalalaqsi,45,18,0.0,4.0,12.0,2.0,0.0,0.0,0.0,0.0
