prevalence_6lag,covid,ndvi,ipc,cropdiv,population,month,district_encoded
0.4452618351340643,5.0,0.5483333333333333,0.02,5.0,188547.0,7,61
0.3994682200116711,5.0,0.51,0.13,6.0,78010.0,7,24
0.3829595838278671,5.0,0.26166666666666666,0.04,7.0,40676.0,7,66
0.3728953651323323,5.0,0.26333333333333336,0.08,2.0,72923.0,7,39
0.3083621800244197,5.0,0.29333333333333333,0.0,4.0,61427.0,7,33
0.2029943156263941,5.0,0.21166666666666667,0.11,4.0,1044086.0,7,52
0.4637137550163429,5.0,0.44166666666666665,0.06,4.0,180336.0,7,67
0.2484368223141074,5.0,0.385,0.08,8.0,101133.0,7,6
0.2163547982087805,5.0,0.23500000000000001,0.12,3.0,87385.0,7,69
0.4798138405125635,5.0,0.355,0.03,9.0,90880.0,7,25
0.3706782212839118,5.0,0.21666666666666667,0.12,2.0,69851.0,7,53
0.5185117637649114,5.0,0.4266666666666667,0.02,5.0,51735.0,7,80
0.4367229608336327,3583.0,0.3116666666666667,0.1,5.0,69575.0,1,81
0.2639538679142639,3583.0,0.5566666666666666,0.1,5.0,45956.0,1,7
0.4469897765997728,3583.0,0.35333333333333333,0.12,5.0,79232.0,1,85
0.4582353863030873,3583.0,0.4166666666666667,0.1,6.0,191431.0,1,3
0.3925848407833757,3583.0,0.25833333333333336,0.25,4.0,33448.0,1,83
0.2304840065259306,3583.0,0.35666666666666663,0.14,8.0,101133.0,1,6
0.4544457188450606,3583.0,0.4383333333333333,0.1,10.0,100263.0,1,55
0.3881953090823434,3583.0,0.5633333333333334,0.11,5.0,148588.0,1,58
0.3992414113024258,3583.0,0.435,0.13,6.0,183233.0,1,11
0.3757435851904466,3583.0,0.19999999999999998,0.15,6.0,56310.0,1,45
0.4604083984124952,3583.0,0.4533333333333333,0.13,7.0,156220.0,1,59
0.1675903119868637,3583.0,0.25666666666666665,0.11,2.0,97441.0,1,51
0.4420162648228424,3583.0,0.43500000000000005,0.13,7.0,139564.0,1,44
0.3619308628245356,3583.0,0.47833333333333333,0.22,5.0,377653.0,1,60
0.2858416181007885,3583.0,0.2833333333333333,0.17,4.0,72923.0,1,39
0.4855604762788724,3583.0,0.61,0.09,5.0,188548.0,1,61
0.2905168905168905,3583.0,0.39666666666666667,0.1,4.0,61428.0,1,33
0.3060848186846958,3583.0,0.22166666666666668,0.14,6.0,40676.0,1,66
0.4905037846230626,3583.0,0.505,0.09,5.0,180336.0,1,67
0.4117135401565671,3583.0,0.43,0.09,5.0,51734.0,1,80
0.3833278902677988,3583.0,0.48833333333333334,0.21,5.0,61242.0,1,56
